ANNEE,PAYS,RUBRIQUE,DETAILS,TRAFIC ANNUEL (EN TONNE)
2007,COTE D'IVOIRE,EXPORTATION,Niger,0
2007,COTE D'IVOIRE,EXPORTATION,Autres pays côtiers,0
2008,COTE D'IVOIRE,IMPORTATION,Côte d'Ivoire,8979381
2008,COTE D'IVOIRE,IMPORTATION,Transbordement,1664643
2008,COTE D'IVOIRE,IMPORTATION,Burkina  Faso,281956
2008,COTE D'IVOIRE,IMPORTATION,Mali,242553
2008,COTE D'IVOIRE,IMPORTATION,Niger,1252
2008,COTE D'IVOIRE,IMPORTATION,Autres pays côtiers,674
2008,COTE D'IVOIRE,EXPORTATION,Côte d'Ivoire,7779638
2008,COTE D'IVOIRE,EXPORTATION,Transbordement,1690791
2008,COTE D'IVOIRE,EXPORTATION,Burkina  Faso,102694
2008,COTE D'IVOIRE,EXPORTATION,Mali,83344
2008,COTE D'IVOIRE,EXPORTATION,Niger,0
2008,COTE D'IVOIRE,EXPORTATION,Autres pays côtiers,0
2009,COTE D'IVOIRE,IMPORTATION,Côte d'Ivoire,9505127
2009,COTE D'IVOIRE,IMPORTATION,Transbordement,1317111
2009,COTE D'IVOIRE,IMPORTATION,Burkina  Faso,482394
2009,COTE D'IVOIRE,IMPORTATION,Mali,579062
2009,COTE D'IVOIRE,IMPORTATION,Niger,12224
2009,COTE D'IVOIRE,IMPORTATION,Autres pays côtiers,31
2009,COTE D'IVOIRE,EXPORTATION,Côte d'Ivoire,9314531
2009,COTE D'IVOIRE,EXPORTATION,Transbordement,1332814
2009,COTE D'IVOIRE,EXPORTATION,Burkina  Faso,106557
2009,COTE D'IVOIRE,EXPORTATION,Mali,77384
2009,COTE D'IVOIRE,EXPORTATION,Niger,0
2009,COTE D'IVOIRE,EXPORTATION,Autres pays côtiers,0
2010,COTE D'IVOIRE,IMPORTATION,Côte d'Ivoire,10711972
2010,COTE D'IVOIRE,IMPORTATION,Transbordement,1242042
2010,COTE D'IVOIRE,IMPORTATION,Burkina  Faso,441729
2010,COTE D'IVOIRE,IMPORTATION,Mali,402082
2010,COTE D'IVOIRE,IMPORTATION,Niger,506
2010,COTE D'IVOIRE,IMPORTATION,Autres pays côtiers,2495
2010,COTE D'IVOIRE,EXPORTATION,Côte d'Ivoire,8257157
2010,COTE D'IVOIRE,EXPORTATION,Transbordement,1309284
2010,COTE D'IVOIRE,EXPORTATION,Burkina  Faso,109234
2010,COTE D'IVOIRE,EXPORTATION,Mali,81721
2010,COTE D'IVOIRE,EXPORTATION,Niger,0
2010,COTE D'IVOIRE,EXPORTATION,Autres pays côtiers,0
