Année,Statut,Catégorie,Sous-catégorie,Détails,Montant
2019,Réalisé,Ressources budgétaires,Ressources extérieures,Appuis budgétaires,414.01009999999997
2019,Réalisé,Ressources budgétaires,Ressources extérieures,Financement extérieur des projets,527.3249000000001
2019,Réalisé,Ressources budgétaires,Ressources extérieures,Restructuration de dettes
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Fonds d'Investissements en Milieu Rural (FIMR) ,10.97
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Transfert au Fonds d'Entretien Routier (FER),134.1
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Recettes affectées aux collectivités,121.7
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,TSU SIR,68.5
2019,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Autres recettes affectées et parafiscalité,347.5300000000001
2011,Réalisé,Dépenses budgétaires,Service de la dette publique,,1312.641
2011,Réalisé,Dépenses budgétaires,Dépenses ordinaires ,,1393.3472000000002
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projets C2D
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Collectivités décentralisées,10.653
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Projet d'Assistance Post Crise,0.15
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Dépenses post crise,30.541
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,CNS/Investissement
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Construction du barrage de Soubré
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Programme Présidentiel d'Urgence ,45.01
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Fonds d'Etudes
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Restructuration des banques
2011,Réalisé,Dépenses budgétaires,Dépenses d'investissement,Couverture maladie Universelle
