Année,Matière,Catégorie,Sous-catégorie,Statut,Valeur
2010,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),142.63693103448298
2010,Bois,EXPORTATION,Bois de grume,Pix moyen  (F CFA /m3),108780.56926080654
2010,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),761.7
2010,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),263.649330989574
2010,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),337978.5491565811
2011,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),130.273862068966
2011,Bois,EXPORTATION,Bois de grume,Prix moyen   (F CFA /m3),98201.1385216131
2011,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3),803.8
2011,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3),213.64892610601214
2011,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3),301451.16991157725
2012,Bois,EXPORTATION,Bois de grume,Quantité (1000 Xm3),180.6237966
2012,Bois,EXPORTATION,Bois de grume,Prix moyen  (F CFA /m3),80245
2012,Bois,EXPORTATION,Bois de grume transformé,Quantité (1000 Xm3)
2012,Bois,EXPORTATION,Bois débité,Quantité (1000 X m3)
2012,Bois,EXPORTATION,Bois débité,Prix moyen   (F CFA /m3)
2003,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),63.226
2004,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),65.28
2005,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),67.239
2006,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),67.239
2007,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),69.256
2008,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),81.015
2009,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),84.952
2010,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),90.227
2011,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),91.844
2012,Arachide,PRODUCTION,Arachide en coque,Quantité (1000 X tonne),93.49
2003,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),15.945999999999998
2003,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),299.3063464191647
2003,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),17.754
2003,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),34.093950659006424
2004,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),35.156
2004,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),68.14708726817612
2004,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),132.217
2004,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),320.5423054524002
2005,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),58.27
2005,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),66.32186373777243
2005,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),24.067
2005,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),213.51489591556904
2006,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),53.597
2006,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),185.31932757430454
2006,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),0.54
2006,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),396.2481481481482
2007,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),68.31
2007,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),233.44598155467722
2007,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),505.291
2007,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),193.20861642103264
2008,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),54.784
2008,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),251
2008,Arachide,EXPORTATION,Arachide décortiquée,Quantité (1000 X tonne),364.226
2008,Arachide,EXPORTATION,Arachide décortiquée,Prix moyen (FCFA/KG),245.87603575801836
2009,Arachide,EXPORTATION,Arachide en coque,Quantité (1000 X tonne),45
2009,Arachide,EXPORTATION,Arachide en coque,Prix moyen (FCFA/KG),356
