geometry,@id,Catégorie,Lieu,id
"{""type"":""Point"",""coordinates"":[-4.0050058,5.328578]}",node/5957239666,Arrêt de bus,Ambassade Allemagne,node/5957239666
"{""type"":""Point"",""coordinates"":[-4.0026166,5.3223289]}",node/5957239667,Arrêt de bus,Blockhauss,node/5957239667
"{""type"":""Point"",""coordinates"":[-3.9860303,5.3975314]}",node/5958266385,Arrêt de bus,Pharmacie des Laureades,node/5958266385
"{""type"":""Point"",""coordinates"":[-3.9881294,5.3806539]}",node/5958266386,Arrêt de bus,ESIT,node/5958266386
"{""type"":""Point"",""coordinates"":[-3.9843171,5.3735181]}",node/5958266387,Arrêt de bus,Commissariat 30e Arrondissement,node/5958266387
"{""type"":""Point"",""coordinates"":[-3.9813021,5.3701109]}",node/5958266388,Arrêt de bus,Paroisse St Bernard,node/5958266388
"{""type"":""Point"",""coordinates"":[-3.9795819,5.3667415]}",node/5958266389,Arrêt de bus,Djire Telecom,node/5958266389
"{""type"":""Point"",""coordinates"":[-3.9782153,5.3573659]}",node/5958266390,Arrêt de bus,Pharmacie St Ange,node/5958266390
"{""type"":""Point"",""coordinates"":[-3.9780178,5.3558842]}",node/5958266391,Arrêt de bus,Andre Malraux,node/5958266391
"{""type"":""Point"",""coordinates"":[-3.9773239,5.3541895]}",node/5958266392,Arrêt de bus,Terminus 705 Riviera 2,node/5958266392
"{""type"":""Point"",""coordinates"":[-4.0499566,5.4239193]}",node/5961735082,Arrêt de bus,Gare Gbaka Anonkou-Sodeci,node/5961735082
"{""type"":""Point"",""coordinates"":[-4.0438867,5.4412099]}",node/5969971283,Arrêt de bus,Gare TCV internationale,node/5969971283
"{""type"":""Point"",""coordinates"":[-4.0438713,5.4410557]}",node/5969971284,Arrêt de bus,Malex transport Abobo,node/5969971284
"{""type"":""Point"",""coordinates"":[-4.0438036,5.4408594]}",node/5969980985,Arrêt de bus,Gare de Doropo CTDD,node/5969980985
"{""type"":""Point"",""coordinates"":[-4.0437855,5.4406845]}",node/5969980986,Arrêt de bus,CITR Gare,node/5969980986
"{""type"":""Point"",""coordinates"":[-4.0420555,5.4411411]}",node/5970004128,Arrêt de bus,UTB,node/5970004128
"{""type"":""Point"",""coordinates"":[-4.0426737,5.441023]}",node/5970004130,Arrêt de bus,Gare KTI,node/5970004130
"{""type"":""Point"",""coordinates"":[-4.0428038,5.4409742]}",node/5970004131,Arrêt de bus,Gare Transport Sana Rasmane,node/5970004131
"{""type"":""Point"",""coordinates"":[-4.0421976,5.4419835]}",node/5970092069,Arrêt de bus,Banco gare internationale,node/5970092069
"{""type"":""Point"",""coordinates"":[-4.0423733,5.4419535]}",node/5970092070,Arrêt de bus,GTT Gare de Bondoukou,node/5970092070
"{""type"":""Point"",""coordinates"":[-4.0426288,5.4418914]}",node/5970092071,Arrêt de bus,LC Gare Abidjan Odienné,node/5970092071
"{""type"":""Point"",""coordinates"":[-4.0428641,5.4418694]}",node/5970092072,Arrêt de bus,Gare Internationale Bembeya,node/5970092072
"{""type"":""Point"",""coordinates"":[-4.042156,5.4416645]}",node/5970117203,Arrêt de bus,Gare d'Akoupé,node/5970117203
"{""type"":""Point"",""coordinates"":[-4.0423143,5.4416498]}",node/5970117205,Arrêt de bus,Gare d'Agboville,node/5970117205
"{""type"":""Point"",""coordinates"":[-4.0424377,5.4416284]}",node/5970117206,Arrêt de bus,Gare de Agnibilekro,node/5970117206
"{""type"":""Point"",""coordinates"":[-4.0424846,5.4416191]}",node/5970117207,Arrêt de bus,Gare de Bondoukou,node/5970117207
"{""type"":""Point"",""coordinates"":[-4.0429339,5.4409429]}",node/5970179320,Arrêt de bus,Africa Tours Transport,node/5970179320
"{""type"":""Point"",""coordinates"":[-4.0425068,5.4410497]}",node/5970179322,Arrêt de bus,Gare de Dabakala SD DF,node/5970179322
"{""type"":""Point"",""coordinates"":[-4.0423666,5.441061]}",node/5970179324,Arrêt de bus,Gare MTK,node/5970179324
"{""type"":""Point"",""coordinates"":[-4.042667,5.4415764]}",node/5970201534,Arrêt de bus,SBTA International,node/5970201534
"{""type"":""Point"",""coordinates"":[-4.0428454,5.4415483]}",node/5970201535,Arrêt de bus,SABE transport,node/5970201535
"{""type"":""Point"",""coordinates"":[-4.0429473,5.4414722]}",node/5970201536,Arrêt de bus,International Rambo Transport,node/5970201536
"{""type"":""Point"",""coordinates"":[-4.0423679,5.4411491]}",node/5972785307,Arrêt de bus,KF Transport,node/5972785307
"{""type"":""Point"",""coordinates"":[-4.0421923,5.4411745]}",node/5972785308,Arrêt de bus,Abass Transport,node/5972785308
"{""type"":""Point"",""coordinates"":[-4.042042,5.4412012]}",node/5972785309,Arrêt de bus,Pelessi Transport,node/5972785309
"{""type"":""Point"",""coordinates"":[-4.0422647,5.4419695]}",node/5972785310,Arrêt de bus,Bani Transport International,node/5972785310
"{""type"":""Point"",""coordinates"":[-4.0420863,5.4416805]}",node/5972785311,Arrêt de bus,KFT Transport,node/5972785311
"{""type"":""Point"",""coordinates"":[-4.0422318,5.441535]}",node/5972785313,Arrêt de bus,UTRAKO Transport,node/5972785313
