DREN-ET,ETABLISSEMENTS,STATUT
DALOA,LYCEE ANTOINE GAUZE DALOA,PUBLIC
DALOA,LYCEE MODERNE 1 DALOA,PUBLIC
DALOA,LYCEE MODERNE 2 DALOA,PUBLIC
DALOA,LYCEE MODERNE 3 DALOA,PUBLIC
DALOA,LYCEE MODERNE 4 DALOA,PUBLIC
DALOA,LYCEE MODERNE ISSIA,PUBLIC
DALOA,LYCEE MODERNE VAVOUA,PUBLIC
DALOA,LYCEE MUNICIPAL KHALIL DALOA,PUBLIC
DALOA,LYCEE MUNICIPAL ISSIA,PUBLIC
DALOA,LYCEE MUNICIPAL ZOUKOUGBEU,PUBLIC
DAOUKRO,COLLEGE ASCENSION DAOUKRO,PRIVE
DAOUKRO,COLLEGE ASSA M'BAHIAKRO,PRIVE
DAOUKRO,COLLEGE ETRAMPHET OUELLE,PRIVE
DAOUKRO,COLLEGE IVOIRE DAOUKRO,PRIVE
DAOUKRO,COLLEGE MODERNE ETTROKRO,PUBLIC
DAOUKRO,COLLEGE MODERNE LE PRIVILEGE DAOUKRO,PRIVE
DAOUKRO,COLLEGE MODERNE MOUAHE DAOUKRO,PRIVE
DAOUKRO,COLLEGE N'SIFLOUWA DAOUKRO,PRIVE
DAOUKRO,GROUPE SCOLAIRE ISMA PRIKRO,PRIVE
DAOUKRO,INSTITUT SAINT HARMONY (ISH) M'BAHIAKRO,PRIVE
DAOUKRO,INSTITUT SECONDAIRE AKOUNDA Ouéllé,PRIVE
DAOUKRO,LYCEE ADRIEN KOUASSI TOLLAH OUELLE,PUBLIC
DAOUKRO,LYCEE MODERNE 1 DAOUKRO,PUBLIC
DAOUKRO,LYCEE MODERNE 2 DAOUKRO,PUBLIC
DAOUKRO,LYCEE MODERNE M'BAHIAKRO,PUBLIC
DAOUKRO,LYCEE MUNICIPAL PRIKRO,PUBLIC
DIMBOKRO,COLLEGE ABOUSSOUAN BONGOUANOU,PRIVE
DIMBOKRO,COLLEGE ALPHONSE ALLIRAND M'Batto,PRIVE
DIMBOKRO,COLLEGE ARCHANGE KOUASSI-KOUASSIKRO,PRIVE
DIMBOKRO,COLLEGE BOKPLI BOCANDA,PRIVE
DIMBOKRO,COLLEGE CANAAN,PRIVE
DIMBOKRO,COLLEGE CATHOLIQUE SAINT JOSEPH Dimbokro,PRIVE
DIMBOKRO,COLLEGE CHRIST ROI DIMBOKRO,PRIVE
DIMBOKRO,COLLEGE DE KOUADIO M'BATTO,PRIVE
DIMBOKRO,COLLEGE EMMAÜS BONGOUANOU,PRIVE
DIMBOKRO,COLLEGE ESPÉRANCE DIMBOKRO,PRIVE
DIMBOKRO,COLLEGE ESPOIR DU MORONOU KOTOBI,PRIVE
DIMBOKRO,COLLEGE HOUPHOUET FAITAI BONGOUANOU,PRIVE
DIMBOKRO,COLLEGE LA BENEDICTION Dimbokro,PRIVE
DIMBOKRO,COLLEGE LA MÉMOIRE M'BATTO,PRIVE
DIMBOKRO,COLLEGE LA NOUVELLE ALLIANCE DIMBOKRO,PRIVE
DIMBOKRO,COLLEGE LA PROVIDENCE DIMBOKRO,PRIVE
DIMBOKRO,COLLEGE LAFISSOU Comikro,PRIVE
DIMBOKRO,COLLEGE LE CHALLENGE DIMBOKRO,PRIVE
DIMBOKRO,COLLEGE LE TREMPLIN M'BATTO,PRIVE
DIMBOKRO,COLLEGE MODERNE ABONGOUA,PUBLIC
DIMBOKRO,COLLEGE MODERNE DIMBOKRO,PUBLIC
DIMBOKRO,COLLEGE MUNICIPAL ANOUMABA,PUBLIC
DIMBOKRO,COLLEGE MUNICIPAL KOUASSI-KOUASSIKRO,PUBLIC
DIMBOKRO,COLLEGE NOTRE DAME DE SECOURS 3,PRIVE
DIMBOKRO,COLLEGE N'ZI COMOE DIMBOKRO,PRIVE
DIMBOKRO,COLLEGE PAUL VI ARRAH,PRIVE
DIMBOKRO,COLLEGE PRESTIGE BOCANDA,PRIVE
DIMBOKRO,COLLEGE SAINT DOREL,PRIVE
DIMBOKRO,IEGT INSTITUT D'ENSEIGNEMENT GENERAL ET TECHN. B.,PRIVE
DIMBOKRO,LYCEE MODERNE BOCANDA,PUBLIC
DIMBOKRO,LYCEE MODERNE BONGOUANOU,PUBLIC
DIMBOKRO,LYCEE MODERNE D'ARRAH,PUBLIC
DIMBOKRO,LYCEE MODERNE DE M'BATTO,PUBLIC
DIMBOKRO,LYCEE MODERNE DIMBOKRO,PUBLIC
DIMBOKRO,LYCEE MUNICIPAL TIEMELEKRO,PUBLIC
DIVO,COLLEGE ADVENTISTE DIVO,PRIVE
DIVO,COLLEGE AHIANOT LAKOTA,PRIVE
DIVO,COLLEGE AKONDA DIVO,PRIVE
DIVO,COLLEGE AMIGNON DIVO,PRIVE
DIVO,COLLEGE ASSAKRA Guitry,PRIVE
DIVO,COLLEGE CATHOLIQUE NOTRE DAME D'EVRON LAKOTA,PRIVE
DIVO,COLLEGE CATHOLIQUE SAINTS PIERRE ET PAUL DIVO,PRIVE
DIVO,COLLEGE DE L'AMITIE HIRE,PRIVE
DIVO,COLLEGE DEGRE LAKOTA,PRIVE
DIVO,COLLEGE DEPARTEMENTAL LAKOTA,PRIVE
DIVO,COLLEGE EHOULE JAMES DIVO,PRIVE
DIVO,COLLEGE GRACE DIVINE DIVO,PRIVE
DIVO,COLLEGE ISSA TRAORE DIVO (EX- M. KEITA),PRIVE
DIVO,COLLEGE LE BON BERGER DIVO,PRIVE
DIVO,COLLEGE LE JOUR DIVO,PRIVE
DIVO,COLLEGE LE RENOUVEAU LAKOTA,PRIVE
DIVO,COLLEGE L'INTELLIGENT DIVO,PRIVE
DIVO,COLLEGE MODERNE DIVO,PUBLIC
DIVO,COLLEGE MUNICIPAL HIRÉ,PUBLIC
DIVO,COLLEGE MUNICIPAL ZIKISSO,PUBLIC
DIVO,COLLEGE MUPES HIRE,PRIVE
DIVO,COLLEGE NADREAU LA SOURCE HERMAN KONO,PRIVE
DIVO,COLLEGE PRIVE ATLANTIC DIVO,PRIVE
DIVO,COLLEGE PRIVE DIDIER DROGBA LAKOTA,PRIVE
DIVO,COLLEGE PRIVE FRANKLIN VAIR DE DAIRO DIDIZO DIVO,PRIVE
DIVO,COLLEGE PRIVE WABEME DE ZIKISSO,PRIVE
DIVO,COLLEGE RABE LAKOTA,PRIVE
DIVO,COLLEGE RACINE DIVO,PRIVE
DIVO,COLLEGE SELMATH HIRE,PRIVE
DIVO,COLLEGE SILO,PRIVE
DIVO,COLLEGE TOHOURI MARTIN DIVO,PRIVE
DIVO,COLLEGE VICTOR LOBA'D Daligoulilié,PRIVE
DIVO,COURS SECONDAIRE LEBE Lakota,PRIVE
DIVO,COURS SECONDAIRE SOLIDARITE GUITRY,PRIVE
DIVO,GROUPE ISAM DIVO,PRIVE
DIVO,GROUPE SCOLAIRE LES ANGES DE L'ETERNEL,PRIVE
DIVO,GROUPE SCOLAIRE LES BENOITS DIVO,PRIVE
DIVO,GROUPE SCOLAIRE SAINTE ANNE DIVO (Ex-GOUGO),PRIVE
DIVO,GROUPE SCOLAIRE SEIGNEUR YAWEH SABAOTH(SYS),PRIVE
DIVO,INST. SCOLAIRE SECONDAIRE ESSEIGOU AKA (ISSEA) Divo,PRIVE
DIVO,ISSEA,PRIVE
DIVO,LYCEE MODERNE 1 DIVO,PUBLIC
DIVO,LYCEE MODERNE 2 DIVO,PUBLIC
DIVO,LYCEE MODERNE ALPHONSE ASSAMOI DIVO,PUBLIC
DIVO,LYCEE MODERNE BOGA DOUDOU EMILE LAKOTA,PUBLIC
DIVO,LYCEE MODERNE GUITRY,PUBLIC
DUEKOUE,COLLEGE CHRIST ROI,PRIVE
DUEKOUE,COLLEGE CONFESSIONNEL JEAN GLAO DUEKOUE,PRIVE
DUEKOUE,COLLEGE GUIDY DUEKOUE,PRIVE
DUEKOUE,COLLEGE LE MANEY BANGOLO,PRIVE
DUEKOUE,COLLEGE LE PROFESSIONNEL DUEKOUE,PRIVE
DUEKOUE,COLLEGE LEGBEDJI YAO JULES,PRIVE
DUEKOUE,COLLEGE MODERNE BAD KOUIBLY,PUBLIC
DUEKOUE,COLLEGE MODERNE TOURE MAMADOU Duékoué,PRIVE
DUEKOUE,COLLEGE PRIVE ALPHONSE DOUATY GBAPLEU,PRIVE
DUEKOUE,COLLEGE PRIVE ANDRE DOH (CPAD) Duékoué,PRIVE
DUEKOUE,COLLEGE SAINT PIERRE DU GUEMOND DUEKOUE,PRIVE
DUEKOUE,COLLEGE VIGNON Duékoué,PRIVE
DUEKOUE,CSAK FACOBLY,PRIVE
DUEKOUE,INSTITUT CLASSIQUE LE PICOU BANGOLO,PRIVE
DUEKOUE,INSTITUT SECONDAIRE LE SOCIAL DUEKOUE,PRIVE
DUEKOUE,LYCEE MODERNE BANGOLO,PUBLIC
DUEKOUE,LYCEE MODERNE DUEKOUE,PUBLIC
DUEKOUE,LYCEE MODERNE FACOBLY,PUBLIC
FERKESSEDOUGOU,COLLEGE ALFA KEÏTA OUANGOLODOUGOU,PRIVE
FERKESSEDOUGOU,COLLEGE CHARLES LWANGA FERKESSEDOUGOU,PRIVE
FERKESSEDOUGOU,COLLEGE IFPG Ferkéssédougou,PRIVE
FERKESSEDOUGOU,COLLEGE MUNICIPAL DIAWALA,PUBLIC
FERKESSEDOUGOU,COLLEGE MUNICIPAL KONG,PUBLIC
FERKESSEDOUGOU,COLLEGE PRIVÉ KIYALI FERKESSEDOUGOU,PRIVE
FERKESSEDOUGOU,GROUPE SCOLAIRE YEWELIBA Ferkéssédougou,PRIVE
FERKESSEDOUGOU,LYCEE BAD OUANGOLO,PUBLIC
FERKESSEDOUGOU,LYCEE MODERNE FERKESSEDOUGOU,PUBLIC
FERKESSEDOUGOU,LYCEE MUNICIPAL NIELLE,PUBLIC
GAGNOA,COLLEGE SAINTE ADELINE BAYOTA,PRIVE
GAGNOA,COLLEGE AKATI Oumé,PRIVE
GAGNOA,COLLEGE ASSOHO,PRIVE
GAGNOA,COLLEGE CATHOLIQUE ROGER DUQUESNE GAGNOA,PRIVE
GAGNOA,COLLEGE CATHOLIQUE SAINT FRANCOIS OUME,PRIVE
GAGNOA,COLLEGE CATHOLIQUE SAINT JEAN GAGNOA,PRIVE
GAGNOA,COLLEGE CHALLENGE Ouragahio,PRIVE
GAGNOA,COLLEGE CHRIST-ROI,PRIVE
GAGNOA,COLLEGE CONFESSIONNEL ISLAMIQUE CISSE KAMOUROU,PRIVE
GAGNOA,COLLEGE DE LA PAIX GAGNOA,PRIVE
GAGNOA,COLLEGE DENIS DIDEROT OUME,PRIVE
GAGNOA,COLLEGE ENFANT JESUS GAGNOA,PRIVE
GAGNOA,COLLEGE ENTENTE GAGNOA,PRIVE
GAGNOA,COLLEGE France AFRIQUE,PRIVE
GAGNOA,COLLEGE GRACE MARIE Gagnoa,PRIVE
GAGNOA,COLLEGE GREBALO GUIBEROUA,PRIVE
GAGNOA,COLLEGE LA BONNE SEMENCE DE TAGO 2 GAGNOA,PRIVE
GAGNOA,COLLEGE LA FONTAINE GAGNOA,PRIVE
GAGNOA,COLLEGE LA SANGOUE DIEGONEFLA,PRIVE
GAGNOA,COLLEGE LE FORMATEUR GAGNOA,PRIVE
GAGNOA,COLLEGE LES ALLIANCES GAGNOA,PRIVE
GAGNOA,COLLEGE LES ELITES OUME,PRIVE
GAGNOA,COLLEGE MODERNE BAYOTA,PUBLIC
GAGNOA,COLLEGE MODERNE DRIBOUO,PUBLIC
GAGNOA,COLLEGE MODERNE GNAGBODOUGNOA,PUBLIC
GAGNOA,COLLEGE MODERNE MARSEH Diégonéfla,PRIVE
GAGNOA,COLLEGE MODERNE SERIHIO,PUBLIC
GAGNOA,COLLEGE MUNICIPAL DIEGONEFLA,PUBLIC
GAGNOA,COLLEGE MUNICIPAL GUIBEROUA,PUBLIC
GAGNOA,COLLEGE PRIVE DJEOULE DIDDEY OURAGAHIO,PRIVE
GAGNOA,COLLEGE PRIVE ESPOIR OUME,PRIVE
GAGNOA,COLLEGE PRIVE LES PIONNIERS DE GUEPAHOUO,PRIVE
GAGNOA,COLLEGE PYTHAGORE GAGNOA,PRIVE
GAGNOA,COLLEGE SAINTE MADELEINE GAGNOA,PRIVE
GAGNOA,COLLEGE SIRIKI KONE GAGNOA,PRIVE
GAGNOA,COLLEGE YACOUBA SYLLA OUME,PRIVE
GAGNOA,COLLEGE ZADY GAGNOA,PRIVE
GAGNOA,GROUPE SCOLAIRE KESSIE GAGNOA,PRIVE
GAGNOA,INSTITUT SCOLAIRE JULIEN FREUD GAGNOA,PRIVE
GAGNOA,INSTITUT SCOLAIRE LA SOURCE GUIBEROUA,PRIVE
GAGNOA,INSTITUT SECONDAIRE CHALLENGE DIEGONEFLA,PRIVE
GAGNOA,LYCEE MODERNE 1 GAGNOA,PUBLIC
GAGNOA,LYCEE MODERNE 2 GAGNOA,PUBLIC
GAGNOA,LYCEE MODERNE 3 GAGNOA,PUBLIC
GAGNOA,LYCEE MODERNE OUME,PUBLIC
GAGNOA,LYCEE MUNICIPAL OURAGAHIO,PUBLIC
GUIGLO,COLLEGE DOH VALENTIN GUIGLO,PRIVE
GUIGLO,COLLEGE LEGBEDJI YAO JULES,PRIVE
GUIGLO,COLLEGE MUNICIPAL BLOLEQUIN,PUBLIC
GUIGLO,COLLEGE MUNICIPAL PEHE,PUBLIC
GUIGLO,COLLEGE MUNICIPAL TAI,PUBLIC
GUIGLO,COLLEGE MUNICIPAL TANRY,PUBLIC
GUIGLO,COLLEGE PRIVE OBAMA GUIGLO,PRIVE
GUIGLO,COLLEGE SEKALA GUIGLO,PRIVE
GUIGLO,COURS SECONDAIRE LA REFERENCE GUIGLO,PRIVE
GUIGLO,GROUPE SCOLAIRE DEE-LEGNAN ZAGNE GUIGLO,PRIVE
GUIGLO,INSTITUT CATHOLIQUE MANUELA BLOLEQUIN,PRIVE
GUIGLO,LYCEE MODERNE GUIGLO,PUBLIC
GUIGLO,LYCEE MODERNE TOULEPLEU,PUBLIC
KATIOLA,COLLEGE ABDALLAH Dabakala,PRIVE
KATIOLA,COLLEGE ADESKA KATIOLA,PRIVE
KATIOLA,COLLEGE ANARCARDIER,PRIVE
KATIOLA,COLLEGE MODERNE BONIEREDOUGOU,PUBLIC
KATIOLA,COLLEGE MODERNE KATIOLA,PUBLIC
KATIOLA,COLLEGE MODERNE TORTIYA,PUBLIC
KATIOLA,COLLEGE MUNICIPAL SATAMA-SOKORO,PUBLIC
KATIOLA,COLLEGE MUNICIPAL TAFIRE,PUBLIC
KATIOLA,COLLEGE THOMAS D'ACQUIN KATIOLA,PRIVE
KATIOLA,GROUPE IFPG Niakaramandougou,PRIVE
KATIOLA,LYCEE MODERNE DABAKALA,PUBLIC
KATIOLA,LYCEE MODERNE KATIOLA,PUBLIC
KATIOLA,LYCEE MUNICIPAL NIAKARAMADOUGOU,PUBLIC
KORHOGO,C.S.T.P.,PRIVE
KORHOGO,COLLEGE BEMA COULIBALY KORHOGO,PRIVE
KORHOGO,COLLEGE BETHLEEM Korhogo,PRIVE
KORHOGO,COLLEGE COULIBALY SONA HABIB KORHOGO,PRIVE
KORHOGO,COLLEGE DON BOSCO KORHOGO,PRIVE
KORHOGO,COLLEGE GUESSONGUILE PAUL MARIE (EX: Nanlo Bamba),PRIVE
KORHOGO,COLLEGE JEAN DE LA FONTAINE Korhogo,PRIVE
KORHOGO,COLLEGE KIMOU M'BRA KORHOGO,PRIVE
KORHOGO,COLLEGE LAGNON KORHOGO,PRIVE
KORHOGO,COLLEGE LONIYA KORHOGO,PRIVE
KORHOGO,COLLEGE MARCELLIN CHAMPAGNAT KORHOGO,PRIVE
KORHOGO,COLLEGE MODERNE KORHOGO,PUBLIC
KORHOGO,COLLEGE MODERNE NIOFOIN,PUBLIC
KORHOGO,COLLEGE MODERNE SORO N'DOSSOULOU DE SOHOUO,PUBLIC
KORHOGO,COLLEGE MUNICIPAL DIKODOUGOU,PUBLIC
KORHOGO,COLLEGE MUNICIPAL M'BENGUE,PUBLIC
KORHOGO,COLLEGE MUNICIPAL NAPIE,PUBLIC
KORHOGO,COLLEGE MUNICIPAL SIRASSO,PUBLIC
KORHOGO,COLLEGE PRIVE CALAO Korhogo,PRIVE
KORHOGO,COLLEGE SAINTE ELISABETH KORHOGO,PRIVE
KORHOGO,COLLEGE SAKANOKO LOSSENI KORHOGO,PRIVE
KORHOGO,COURS NAFITINI,PRIVE
KORHOGO,GROUPE SCOLAIRE ALY CHIGATA,PRIVE
KORHOGO,IFPG KORHOGO,PRIVE
KORHOGO,LYCEE HOUPHOUET BOIGNY KORHOGO,PUBLIC
KORHOGO,LYCEE MODERNE KORHOGO,PUBLIC
KORHOGO,LYCEE MUNICIPAL KORHOGO,PUBLIC
KORHOGO,LYCEE MUNICIPAL SINEMATIALI,PUBLIC
MAN,AL TARBIYAT EL ISLAMIYAT,PRIVE
MAN,COLLEGE BLON BLAISE MAN,PRIVE
MAN,COLLEGE BONNE ESPERANE ZOUEN-HOUNIEN,PRIVE
MAN,COLLEGE BRICE PROVINCIAL,PRIVE
MAN,COLLEGE CATHOLIQUE JEAN DE LA MENNAIS MAN,PRIVE
MAN,COLLEGE CATHOLIQUE SAINT HENRI DE OSSO MAN,PRIVE
MAN,COLLEGE CATHOLIQUE SAINTS MARTYRS DE L'OUGANDA,PRIVE
MAN,COLLEGE DANIEL RICHARD SIPILOU,PRIVE
MAN,COLLEGE D'ENSEIG. SECOND. TECHNIQUE LOGOUALÉ,PRIVE
MAN,COLLEGE DIETY FELIX ( Ex-ROUSSEAU) Danané,PRIVE
MAN,COLLEGE EMILE O. DOMORAUD MAN,PRIVE
MAN,COLLEGE GUEU PASCAL BIANKOUMA,PRIVE
MAN,COLLEGE GUEU PASCAL MAN,PRIVE
MAN,COLLEGE MODERNE JEUNE FILLES DE MAN,PUBLIC
MAN,COLLEGE MODERNE LA REFONDATION Danané,PRIVE
MAN,COLLEGE MODERNE MAHAPLEU,PUBLIC
MAN,COLLEGE MODERNE MAN,PUBLIC
MAN,COLLEGE MUNICIPAL BIN-HOUYE,PUBLIC
MAN,COLLEGE MUNICIPAL DANANE,PUBLIC
MAN,COLLEGE MUNICIPAL GBONNE,PUBLIC
MAN,COLLEGE MUNICIPAL LOGOUALE,PUBLIC
MAN,COLLEGE MUNICIPAL MAN,PUBLIC
MAN,COLLEGE MUNICIPAL OULAI GOUE ANTOINE SANGOUINE,PUBLIC
MAN,COLLEGE MUNICIPAL SIPILOU,PUBLIC
MAN,COLLEGE MUNICIPAL ZOUAN-HOUNIEN,PUBLIC
MAN,COLLEGE PRIVE DES PROFESSEURS,PRIVE
MAN,COLLEGE PRIVE DIAWAR MAN,PRIVE
MAN,COLLEGE PRIVE JULIETTE RECAMIER DANANE,PRIVE
MAN,COLLEGE SAINT DAVID DE DANANE,PRIVE
MAN,COLLEGE SIA ANDRE MAN,PRIVE
MAN,COURS SECONDAIRE LE PRESTIGE ZOUEN-HOUNIEN,PRIVE
MAN,DOUMBIA EL HADJ BANGALY,PRIVE
MAN,INSTITUT AL IMAN MALIKI BOUNE,PRIVE
MAN,INSTITUT DE FORMATION TECHNIQUE ET GENERAL MAN,PRIVE
MAN,INSTITUT PRIVÉ ECBK MAN,PRIVE
MAN,LYCEE MODERNE BIANKOUMA,PUBLIC
MAN,LYCEE MODERNE DANANE,PUBLIC
MAN,LYCEE MODERNE MAN,PUBLIC
MAN,NOUR EL HOUDA,PRIVE
MAN,SINGA DE GOGNAN,PRIVE
MANKONO,COLLEGE IBLO FOFANA Mankono,PRIVE
MANKONO,COLLEGE MODERNE BAD TIENINGBOUE,PUBLIC
MANKONO,COLLEGE MODERNE BOUANDOUGOU,PUBLIC
MANKONO,COLLEGE MODERNE SARHALA,PUBLIC
MANKONO,COLLEGE MUNICIPAL DIANRA,PUBLIC
MANKONO,COLLEGE MUNICIPAL KOUNAHIRI,PUBLIC
MANKONO,COLLEGE PRIVE JUAN CARLOS 1ER I MANKONO,PRIVE
MANKONO,LYCEE MUNICIPAL MANKONO,PUBLIC
ODIENNE,COLLEGE MODERNE DE BAKO,PUBLIC
ODIENNE,COLLEGE MODERNE ET TECHNIQUE DIABY ODIENNE,PRIVE
ODIENNE,COLLEGE MODERNE ODIENNE,PUBLIC
ODIENNE,COLLEGE MUNICIPAL MADINANI,PUBLIC
ODIENNE,COLLEGE MUNICIPAL MINIGNAN,PUBLIC
ODIENNE,COLLEGE MUNICIPAL SAMATIGUILA,PUBLIC
ODIENNE,COLLEGE MUNICIPAL SEGUELON,PUBLIC
ODIENNE,COLLEGE MUNICIPAL TIEME,PUBLIC
ODIENNE,GROUPE SCOLAIRE MAMADOU COULIBALY ODIENNE,PRIVE
ODIENNE,LYCEE MODERNE ODIENNE,PUBLIC
SAN-PEDRO,COLLEGE GBAO SAN-PEDRO,PRIVE
SAN-PEDRO,COLLEGE LA RUCHE SAN-PEDRO,PRIVE
SAN-PEDRO,COLLEGE LES LUTINS SAN-PEDRO,PRIVE
SAN-PEDRO,LYCEE MODERNE TABOU,PUBLIC
SAN-PEDRO,GROUPE SCOLAIRE JULES FERRY SAN-PEDRO,PRIVE
SAN-PEDRO,LYCEE MODERNE INAGOHI DE SAN-PEDRO,PUBLIC
SAN-PEDRO,COLLEGE LA FAYETTE SAN-PEDRO,PRIVE
SAN-PEDRO,COLLEGE MUNICIPAL GRABO,PUBLIC
SAN-PEDRO,COLLEGE MUNICIPAL GRAND-BEREBY,PUBLIC
SAN-PEDRO,LYCEE MUNICIPAL 1 SAN-PEDRO,PUBLIC
SAN-PEDRO,LYCEE MUNICIPAL 2 SAN-PEDRO,PUBLIC
SAN-PEDRO,COLLEGE LE SUCCES TABOU,PRIVE
SAN-PEDRO,INSTITUT MODERNE ATHENA SAN-PEDRO,PRIVE
SAN-PEDRO,INSTITUT SECONDAIRE LES PEDAGOGUES SAN-PEDRO,PRIVE
SAN-PEDRO,COLLEGE MODERNE SAN-PEDRO,PUBLIC
SAN-PEDRO,COLLEGE DJOBLE CYPRIEN SAN-PEDRO,PRIVE
SAN-PEDRO,INSTITUT SECONDAIRE MARIE ROSE SAN-PEDRO,PRIVE
SAN-PEDRO,GS CLAIRE ANGE SAN-PEDRO,PRIVE
SAN-PEDRO,COLLEGE CHRIST ROI SAN-PEDRO,PRIVE
SAN-PEDRO,GROUPE SCOLAIRE MELLIN SERAPHIN TABOU,PRIVE
SAN-PEDRO,COLLEGE ATLANTIQUE SAN-PEDRO,PRIVE
SAN-PEDRO,COLLEGE LE CLASSIQUE SAN-PEDRO,PRIVE
SAN-PEDRO,COPESS SAN-PEDRO,PRIVE
SAN-PEDRO,GROUPE SCOLAIRE AL GHADIR SAN-PEDRO,PRIVE
SAN-PEDRO,COLLEGE LES ELUS Tabou,PRIVE
SAN-PEDRO,COLLEGE PRIVE AWAWLA GABIADJI,PRIVE
SAN-PEDRO,CSAD SAN-PEDRO,PRIVE
SAN-PEDRO,COURS SECONDAIRE ASSEMBLEE DE DIEU SAN-PEDRO,PRIVE
SAN-PEDRO,COLLEGE LOUBO GRAND-ZATRY,PRIVE
SASSANDRA,COLLEGE MODERNE SASSANDRA,PUBLIC
SASSANDRA,LYCEE MODERNE GOFFRY Kouassi Raymond SASSANDRA,PUBLIC
SASSANDRA,LYCEE MODERNE FRESCO,PUBLIC
SASSANDRA,COLLEGE PRIVÉ LÉGRÉ SASSANDRA,PRIVE
SASSANDRA,COLLEGE SAINTE MARIE FRESCO,PRIVE
SASSANDRA,GROUPE SCOLAIRE AHIRKO SASSANDRA,PRIVE
SASSANDRA,COLLEGE MODERNE PRIVE SAINT PIERRE FRESCO,PRIVE
SASSANDRA,COLLEGE DJIBI SASSANDRA,PRIVE
SEGUELA,COLLEGE BAD SEGUELA,PUBLIC
SEGUELA,COLLEGE LASANO SEGUELA,PRIVE
SEGUELA,COLLEGE LE WORODOUGOU SEGUELA,PRIVE
SEGUELA,COLLEGE LES ELITES DE SEGUELA,PRIVE
SEGUELA,COLLEGE MODERNE MASSALA,PUBLIC
SEGUELA,COLLEGE MODERNE MORONDO,PUBLIC
SEGUELA,COLLEGE MODERNE SIFIE,PUBLIC
SEGUELA,COLLEGE MUNICIPAL KANI,PUBLIC
SEGUELA,LYCEE MODERNE SEGUELA,PUBLIC
SOUBRE,COLLEGE BEAKOU SOPHIE Z. SOUBRE,PRIVE
SOUBRE,COLLEGE EXCELLENCE SOUBRE,PRIVE
SOUBRE,COLLEGE GBAO SEBO MEAGUI,PRIVE
SOUBRE,COLLEGE HARRIS MEMEL FOTE MEAGUI,PRIVE
SOUBRE,COLLEGE KÔTHOH LES LUMIERES Méagui,PRIVE
SOUBRE,COLLEGE LA BONNE ETOILE MEAGUI,PRIVE
SOUBRE,COLLEGE LA FONTAINE Méagui,PRIVE
SOUBRE,COLLEGE LE SAINT DES SAINTS SOUBRE,PRIVE
SOUBRE,COLLEGE LEON GUEFFIE SOUBRE,PRIVE
SOUBRE,COLLEGE LOUBO,PRIVE
SOUBRE,COLLEGE MARIE KORE SOUBRE,PRIVE
SOUBRE,COLLEGE MODERNE BAD SOUBRE,PUBLIC
SOUBRE,COLLEGE MODERNE KFW GUEYO (ex Municipal),PUBLIC
SOUBRE,COLLEGE MODERNE KFW MEAGUI,PUBLIC
SOUBRE,COLLEGE MUNICIPAL GRAND ZATTRY,PUBLIC
SOUBRE,COLLEGE NAWA SOUBRE,PRIVE
SOUBRE,COLLEGE RABE YAO GUEYO,PRIVE
SOUBRE,COLLEGE SAINT ANDRE Buyo,PRIVE
SOUBRE,COURS SECONDAIRE ASSEMBLEE DE DIEU SOUBRE,PRIVE
SOUBRE,GROUP EDUCA-TOUS INTER Méagui,PRIVE
SOUBRE,GROUPE SCOLAIRE DOZO SOUBRE,PRIVE
SOUBRE,GROUPE SCOLAIRE GRACE DIVINE SOUBRE,PRIVE
SOUBRE,GROUPE SCOLAIRE LA VICTOIRE Yabayo,PRIVE
SOUBRE,GROUPE SCOLAIRE MARKANGE SOUBRE,PRIVE
SOUBRE,GS MUEFI SOUBRE,PRIVE
SOUBRE,IMEX LA BONNE SEMENCE TAGO Soubré,PRIVE
SOUBRE,LYCEE MODERNE 1 SOUBRE,PUBLIC
SOUBRE,LYCEE MODERNE 2 SOUBRE,PUBLIC
SOUBRE,LYCEE MUNICIPAL BUYO,PUBLIC
TOUBA,COLLEGE KONE MAMADOU TOUBA,PRIVE
TOUBA,COLLEGE MODERNE OUANINOU,PUBLIC
TOUBA,COLLEGE MUNICIPAL KORO,PUBLIC
TOUBA,LYCEE GOUVERNEUR A. FADIGA TOUBA,PUBLIC
YAMOUSSOUKRO,COLLEGE ARCHIMEDE YAMOUSSOUKRO,PRIVE
YAMOUSSOUKRO,COLLEGE ALBERT EINSTEIN YAMOUSSOUKRO,PRIVE
YAMOUSSOUKRO,COLLEGE ANGE DOMINIQUE DE Yamoussoukro,PRIVE
YAMOUSSOUKRO,COLLEGE ANOUANZE DIDIEVI,PRIVE
YAMOUSSOUKRO,COLLEGE CATHOLIQUE SAINT MICHEL,PRIVE
YAMOUSSOUKRO,COLLEGE ENOC TIEBISSOU,PRIVE
YAMOUSSOUKRO,COLLEGE ESPERANCE TOUMODI,PRIVE
YAMOUSSOUKRO,COLLEGE GANDHI Yamoussoukro,PRIVE
YAMOUSSOUKRO,COLLEGE HELEIS YAMOUSSOUKRO,PRIVE
YAMOUSSOUKRO,COLLEGE JEAN DELAFOSSE TOUMODI,PRIVE
YAMOUSSOUKRO,COLLEGE K. L. DJEDRI YAMOUSSOUKRO,PRIVE
YAMOUSSOUKRO,COLLEGE KONAN YAMOUSSOUKRO,PRIVE
YAMOUSSOUKRO,COLLEGE KOUAKOU AURELIE 1 YAMOUSSOUKRO,PRIVE
